,w1,w2,w3,w4,w5,w6,w7,w8,alpha1,alpha2,alpha3,alpha4
1,0.239101717,0.383751651,0.202774108,0.174372523,0.223203026,0.192938209,0.21185372,0.372005044,0.25,0.25,0.25,0.25
2,0.325760823,0.265323618,0.176168024,0.232747535,0.107679108,0.177177177,0.343629344,0.371514372,0.25,0.25,0.25,0.25
3,0.170518426,0.544034978,0.127420362,0.158026234,0.399728384,0.326844726,0.221819828,0.051607062,0.25,0.25,0.25,0.25
4,0.311327311,0.248088951,0.3161918,0.124391939,0.4040857,0.139013453,0.247135027,0.20976582,0.25,0.25,0.25,0.25
5,0.4453125,0.02109375,0.05078125,0.4828125,0.381113801,0.200484262,0.334624697,0.08377724,0.25,0.25,0.25,0.25
6,0.232796486,0.310395315,0.265983407,0.190824793,0.316,0.097,0.263,0.324,0.25,0.25,0.25,0.25
7,0.081180812,0.470479705,0.108241082,0.340098401,0.254509018,0.346693387,0.390280561,0.008517034,0.25,0.25,0.25,0.25
8,0.25867137,0.197530864,0.059964727,0.483833039,0.244840525,0.236397749,0.270168856,0.248592871,0.25,0.25,0.25,0.25
9,0.292696952,0.048878666,0.153536515,0.504887867,0.148282098,0.473779385,0.215189873,0.162748644,0.25,0.25,0.25,0.25
10,0.021070375,0.294142436,0.378002528,0.306784661,0.264818356,0.281070746,0.234225621,0.219885277,0.25,0.25,0.25,0.25
11,0.31305044,0.176941553,0.298238591,0.211769416,0.46133154,0.039004707,0.127774042,0.371889711,0.25,0.25,0.25,0.25
12,0.371360382,0.169451074,0.3575179,0.101670644,0.4836173,0.308650066,0.008519004,0.19921363,0.25,0.25,0.25,0.25
13,0.275990099,0.291460396,0.073638614,0.358910891,0.033101045,0.609756098,0.214285714,0.142857143,0.25,0.25,0.25,0.25
14,0.288801572,0.16470203,0.28421742,0.262278978,0.192610837,0.245320197,0.191133005,0.370935961,0.25,0.25,0.25,0.25
15,0.274358974,0.315384615,0.214957265,0.195299145,0.131931166,0.539196941,0.196940727,0.131931166,0.25,0.25,0.25,0.25
