"censusblock_id","tr10","tr50","tr500","tr100","tr25","tr2","tr5"
7141,0.5856177872,0.5001653108,0.3829909543,0.46655873,0.5395299908,0.6714195871,0.6227902563
7142,0.7981697703,0.761963386,0.7053408372,0.7461261,0.7773176044,0.84192231,0.8149276289
7143,0.7462772689,0.6988309191,0.635290856,0.6798683157,0.7210917422,0.7914245535,0.7659032474
7144,0.5950233029,0.5216587714,0.4929979388,0.4907503819,0.5528748404,0.6761223861,0.6291821243
7145,0.7481364274,0.7039862443,0.6387892137,0.6846068669,0.7242571639,0.7887320522,0.7651976989
7146,0.7500974873,0.7137875948,0.6555779149,0.6962735169,0.7309120195,0.7962617426,0.7696259884
7147,0.5859603464,0.5143542713,0.4504807851,0.4816927171,0.5462961361,0.6541377885,0.6138905959
7148,0.6633012003,0.6037453983,0.5226781342,0.5778558495,0.6322159415,0.7235905424,0.6868620923
7149,0.6423255929,0.5675749054,0.4532103353,0.5347254175,0.6009322515,0.7192060752,0.6750947116
7150,0.7338852247,0.6865707977,0.6099862165,0.6622577567,0.7067537673,0.7840582056,0.7573552405
7151,0.6628741065,0.5993950003,0.5068798024,0.572521726,0.6283819467,0.7307615117,0.6925118689
7152,0.7574737121,0.7128830606,0.6460759697,0.6919647093,0.7359339449,0.802576752,0.7735265455
7153,0.7138910454,0.6670544234,0.6045153147,0.6473391187,0.6896031072,0.7592563546,0.7312763891
7154,0.7160602312,0.6743250006,0.6051567344,0.6535415809,0.6936341404,0.7672809095,0.7355249256
7155,0.6523981235,0.5905022303,0.502073843,0.5632462948,0.6173824618,0.7185357678,0.6792679684
7156,0.7237220705,0.663758415,0.5820583441,0.6383627324,0.6895524997,0.7792594408,0.7479921017
7157,0.4171370059,0.4216242693,0.4261924359,0.4224929282,0.42102713,0.4083627878,0.4126845322
7158,0.7822147725,0.7431492982,0.6872758379,0.7262943543,0.7601878545,0.8274690801,0.8005297549
7159,0.7660347301,0.7302278312,0.6780744493,0.7135925696,0.7458819558,0.8022919686,0.7811594549
7160,0.4471580826,0.4430629835,0.436353449,0.4401099452,0.4435815169,0.5169219604,0.4566201479
7161,0.7926176531,0.7582365976,0.711941003,0.7445738022,0.7736734843,0.8269338445,0.8065782603
7162,0.5603889137,0.4764349445,0.4225054792,0.440012936,0.5148069834,0.6483585469,0.5956287526
7163,0.3827481773,0.3691521965,0.3680697593,0.3688905164,0.3720661781,0.4850706675,0.4275492248
7164,0.7049075186,0.6519752296,0.582908908,0.6323036153,0.6783775605,0.7551203707,0.7251437669
7165,0.8662787168,0.8276161912,0.7789511797,0.8130807477,0.8444780487,0.8953644413,0.879071646
7166,0.4176562128,0.4191727616,0.4194484077,0.4199763164,0.4192933498,0.4172600529,0.4156652251
7167,0.4294950997,0.4283238542,0.4282778153,0.4269015146,0.4296082255,0.5316171431,0.4670966318
7168,0.5925246994,0.5218403689,0.4347795213,0.4878567086,0.5556476473,0.6651877212,0.6257099481
7169,0.5827817288,0.5082607961,0.42024573,0.4752276865,0.5440353338,0.6580557901,0.6126425612
7170,0.4677964589,0.4024013255,0.3929797713,0.3976055097,0.4174215301,0.5565718077,0.5052637308
7171,0.6724278383,0.6264119887,0.5554347198,0.6050913425,0.6478956261,0.7262787214,0.6970664056
7172,0.546204692,0.4820236875,0.3980125938,0.4518125993,0.5110879058,0.6188161972,0.5761810475
